RANKING;PETICION;TOTAL OCURRENCIAS
1;GET /index.php/acerca.php HTTP/1.1;381994;
2;GET /index.php/acerca.php HTTP/1.0;176374;
3;OPTIONS * HTTP/1.0;83216;
4;GET / HTTP/1.0;33293;
5;GET / HTTP/1.1;28239;
6;GET /~mcast/ESDATOS/POO/herencia.pdf HTTP/1.1;21466;
7;GET /index.php/Usuario:ThelmaChambliss HTTP/1.0;17036;
8;GET /~mvaldenegro/blog/index.php?/feeds/index.rss2 HTTP/1.0;16693;
9;GET /robots.txt HTTP/1.1;16154;
10;GET /index.php/estudiantes.php HTTP/1.1;15008;
11;GET /~mcast/PROGRAMACION/20101/recursividad/FP.RP04.pdf HTTP/1.1;14916;
12;GET /index.php/Usuario:BenitoFiore HTTP/1.0;12831;
13;GET /favicon.ico HTTP/1.1;11963;
14;GET /index.php/Usuario:NoeliaJude HTTP/1.1;9894;
15;GET /acerca.php HTTP/1.1;8934;
16;GET /index.php/IOS_7_Jailbreak_Unveiled_-_Right_here_is_iOS_7_jailbreak_Guidebook?%boundary%%0D%0AContent-Disposition:+form-data;+name=%22wpSection%22%0D%0A%0D%0A%0D%0A%boundary%%0D%0AContent-Disposition:+form-data;+name=%22wpStarttime%22%0D%0A%0D%0A20140;8233;
17;GET /index.html?%25boundary%25%250D%250AContent-Disposition:+form-data%3b+name=%2522wpSection%2522%250D%250A%250D%250A%250D%250A%25boundary%25%250D%250AContent-Disposition:+form-data%3b+name=%2522wpStarttime%2522%250D%250A%250D%250A20140126094233%250D%250;6583;
18;GET /index.php/Usuario:Junko4220x HTTP/1.0;6503;
19;GET /index.php/estudiantes.php HTTP/1.0;6402;
20;GET /~mcast/sw/apuntes/apuntes.pdf HTTP/1.1;5772;
21;GET /~mcast/CCOMPUTACION/Introduccion/estructuraordenador.pdf HTTP/1.1;5130;
22;GET /comun/js/mootools.js HTTP/1.1;4875;
23;GET /index.php/Usuario:ArdisYcfpbifbin HTTP/1.1;4873;
24;GET /comun/js/mootools-more.js HTTP/1.1;4865;
25;GET /comun/imagen.php?sec=correo;usuario=contacto;servidor=informatica.utem;dominio=cl HTTP/1.1;4823;
26;GET /comun/css/informatica.css HTTP/1.1;4779;
27;GET /comun/css/validate.css HTTP/1.1;4756;
28;GET /comun/css/impresion.css HTTP/1.1;4731;
29;GET /comun/img/bg.jpg HTTP/1.1;4677;
30;GET /comun/img/header5.jpg HTTP/1.1;4661;
31;GET /comun/img/nav.gif HTTP/1.1;4584;
32;GET /comun/img/bgmain.gif HTTP/1.1;4580;
33;GET /index.php/Usuario:MauraWellish HTTP/1.1;4439;
34;GET /index.php/Usuario:VioletStainfort HTTP/1.1;4385;
35;GET /comun/img/bgfooter.gif HTTP/1.1;4384;
36;GET /index.php/Usuario:BebeHillard HTTP/1.0;4359;
37;GET /index.php/Usuario:KeiraHayward HTTP/1.0;4315;
38;GET /index.php/Usuario:JanaLermaev HTTP/1.0;4242;
39;GET /comun/img/favicon2.png HTTP/1.1;3899;
40;GET /administrator/index.php HTTP/1.0;3545;
41;GET /index.php/Usuario:Eli54Ifcyi HTTP/1.1;3527;
42;GET /laboral.php HTTP/1.1;3390;
43;GET /index.php/Usuario:LeoraAskdrtua HTTP/1.1;3375;
44;GET /index.php/Usuario:AntonOPFwnckfx HTTP/1.1;3198;
45;GET /acerca.php HTTP/1.0;3174;
46;GET /robots.txt HTTP/1.0;2904;
47;GET /index.php/Usuario:ColleenTiemann HTTP/1.1;2633;
48;GET /index.php/Usuario:GretchenGough HTTP/1.1;2504;
49;GET /index.php/Usuario:DianaEastman HTTP/1.0;2500;
50;GET /index.php/Usuario:KirkBrownrigg HTTP/1.1;2455;
51;GET /index.php/Usuario:JeffereyRMS HTTP/1.1;2401;
52;GET /index.php/Usuario:Angela9270 HTTP/1.1;2390;
53;GET /index.php/Usuario:KatriceRech HTTP/1.1;2318;
54;GET /index.php/Usuario:ClairePerez HTTP/1.1;2314;
55;GET /index.php/Usuario:RIYMadiexxlwyud HTTP/1.1;2308;
56;GET /index.php/Usuario:LettieLamaro HTTP/1.1;2287;
57;GET /index.php/Usuario:LettieLamaro HTTP/1.0;2282;
58;GET /index.php/Usuario:CarissaGuest HTTP/1.1;2280;
59;GET /index.php/Usuario:PaigeNLGXgo HTTP/1.1;2254;
60;GET /index.php/Usuario:LYILavonne HTTP/1.1;2236;
61;GET /index.php/Usuario:CeciliaDNR HTTP/1.1;2166;
62;GET /index.php/Usuario:JonathonLuo HTTP/1.1;2152;
63;GET /index.php/Usuario:FinnMercado HTTP/1.1;2130;
64;GET /index.php/Usuario:KamT80iqfxtaip HTTP/1.0;2120;
65;GET /index.php/Usuario:Veronique44W HTTP/1.1;2118;
66;GET /index.php/Usuario:AdaK99ahdrbmlxz HTTP/1.1;2109;
67;GET /~mcast/ESDATOS/TADS/Ttema2.pdf HTTP/1.1;2100;
68;GET /index.php/Usuario:EmmaHollar HTTP/1.1;2094;
69;GET /index.php/Usuario:MaribelRittenho HTTP/1.0;2080;
70;GET /index.php/Usuario:RodneyRuiz HTTP/1.1;2072;
71;GET /estudiantes.php HTTP/1.1;2069;
72;GET /index.php/Usuario:HeidiYagan HTTP/1.1;2056;
73;GET /index.php/Usuario:CharlieLarocque HTTP/1.1;2044;
74;GET /index.php/Usuario:ClariceHarlow HTTP/1.1;2038;
75;GET /index.php HTTP/1.1;2028;
76;GET /index.php/Usuario:RandyAtchley HTTP/1.1;2007;
77;GET /index.php/Usuario:Alycia5750 HTTP/1.1;1965;
78;GET /index.php/Usuario:IonaNrpdeoymmbl HTTP/1.1;1933;
79;GET /index.php/Usuario:MarcelinoSavoy HTTP/1.1;1917;
80;GET /index.php?title=Especial:Entrar&action=submitlogin&type=signup&returnto=Are+You+Looking+To+Know+More+About+Home+Security+Systems+These+Pointers+Will+Assist&returntoquery=action=submitlogin&type=signup HTTP/1.1;1915;
81;GET /index.php/Usuario:AmosLeighm HTTP/1.1;1891;
82;GET /index.php/How_To_Accelerate_Your_Computer_-_Ultimate_Guide HTTP/1.1;1886;
83;GET /index.php/Usuario:KendrickPrins HTTP/1.1;1882;
84;GET /index.php/Usuario:Forrest9086 HTTP/1.1;1860;
85;GET /index.php/Usuario:CarmaMiele HTTP/1.1;1857;
86;GET /index.php/Usuario:JeanneAnnunziat HTTP/1.1;1847;
87;GET /index.php/Considering_Painless_Systems_In_industrial_heating HTTP/1.1;1818;
88;GET /index.php/Usuario:ChauDarrington HTTP/1.1;1801;
89;GET /index.php/Usuario:BertieSalyer HTTP/1.1;1774;
90;GET /index.php/Heartland_Voters_Really_feel_Icy_Out_Through_Debt_Question HTTP/1.1;1707;
91;GET /docentes.php HTTP/1.1;1703;
92;GET /index.php/Usuario:VioletStainfort HTTP/1.0;1675;
93;GET /index.php/Usuario:SharonRHQW HTTP/1.1;1669;
94;GET /index.php/Usuario:BereniceGibbons HTTP/1.0;1646;
95;GET /index.php/Usuario:ChassidyKalb HTTP/1.1;1629;
96;GET /index.php/Usuario:JacobHurtsgs HTTP/1.1;1596;
97;GET /index.php/Usuario:ScottyFreed HTTP/1.0;1564;
98;GET /~mcast/CCOMPUTACION/Introduccion/perifericos.pdf HTTP/1.1;1558;
99;GET /index.php/Usuario:RobJUICvwsnf HTTP/1.1;1546;
100;GET /index.php/Why_Are_My_Feet_Always_Cold HTTP/1.1;1544;
